index,GSM1050643,GSM1050644,GSM1050645,GSM1050646,GSM1050647,GSM1050648,GSM1050649,GSM1050650,GSM1050651,GSM1050652,GSM1050653,GSM1050654,GSM1050655,GSM1050656,GSM1050657,GSM1050658,GSM1050659,GSM1050660,GSM1050661,GSM1050662,GSM1050663,GSM1050664,GSM1050665,GSM1050666,GSM1050667
TBR1,4.893494,5.099481,4.361718,4.470785,4.191947,4.485891,4.467972,4.241403,4.494083,4.392318,4.363618,4.278499,4.470394,3.850464,4.463908,4.226376,4.335502,4.397157,4.332203,4.546663,4.266094,4.485656,4.093379,4.405755,4.111124
TBRG4,4.659149,4.394675,4.142058,4.48118,4.227827,4.153237,4.992949,4.153947,4.412613,4.179038,4.047654,4.139023,4.222738,4.259101,4.393462,4.422405,4.267271,4.597976,4.307824,4.193579,4.269481,4.363752,4.173487,4.283311,4.111616
TBX1,12.940637,12.356631,11.760571,12.623968,11.993635,12.763246,12.328405,11.892076,12.096101999999998,12.214986,12.974402999999999,11.883172,13.407867000000001,12.306027,12.592887000000001,13.505915,12.587221,12.485336,12.542606,13.23012,12.458083,13.032626,11.978444,12.907893000000001,11.882363999999999
TBX10,9.447779,9.057770999999999,9.087045,8.954654000000001,8.27776,8.969914,8.655823,8.646964,8.597365,13.21137,8.669233,11.715212999999999,10.97937,8.87613,8.981637,9.113467,10.243172999999999,8.946611,8.953068,9.247215,9.184278,9.100701,9.264436,8.728928,8.340777
TBX19,5.738955,5.083941,4.851062,5.131029,4.975823,5.148496,5.407423,5.093596,5.020133,4.987353,5.278919,4.934397,5.250144,5.100587,4.969834,5.233563,5.0937,5.118772,5.098754,5.243769,4.968054,4.922363,5.045832,5.192707,4.695206
TBX2,22.953799000000004,21.815295,20.949456,21.865747000000002,20.416669000000002,22.088313,21.137154,20.817195,21.760962,21.955878,22.03263,21.718815,21.714087,21.888993999999997,21.751412000000002,21.803397,22.767167,21.69315,22.352484,22.072915000000002,21.842661999999997,21.915605,21.090844,20.975275000000003,20.359810000000003
TBX21,6.565227,6.021472,5.731269,6.160224,6.065521,6.532412,6.024283,5.823307,6.217532,6.175609,6.360001,6.023909,5.960841,6.201424,5.875637,6.058945,6.502059,5.939706,6.351021,6.044576,5.949516,6.488086,5.971673,6.090545,5.893862
TBX3,5.985004,5.903157,5.302936,5.240909,5.805121,5.277384,5.513864,6.224865,6.339833,5.588616,7.360907,5.225379,5.435383,6.365239,5.357987,7.189121,5.060346,5.480224,5.09375,6.052383,5.275949,5.822494,5.332694,6.618597,4.517598
TBX4,5.811074,4.774999,4.837385,5.233151,4.756552,5.259626,4.898856,4.911988,4.725929,5.10563,5.146078,4.926248,4.808326,4.927649,5.291861,5.086499,5.714742,5.071636,5.178157,5.021966,5.027161,5.056971,4.849301,4.955587,4.60943
TBX5,10.850683,10.205967,9.779169,10.314501,9.799593999999999,10.070947,10.426477,9.652172,9.919685000000001,9.681645,9.694552,9.621019,9.697687,9.734611,10.270489000000001,9.849686,10.040975,10.156545999999999,9.884424,10.465622,9.702578,10.293942000000001,9.764906,9.640511,9.410753
TBX6,11.322401,10.34681,9.763523,9.982895,9.686841,10.186059,10.269942,9.901140999999999,9.765838,9.951766,9.783578,9.767548999999999,10.228574,9.883098,9.984782,10.315278,10.685808000000002,10.226281,10.194524,10.10177,10.162906,10.252614000000001,9.829015,10.041366,9.398158
