index,MGHCC1573,MGHCC1006,MGHCC0007,MGHCC0001-B,MGHCC1002,MGHCC1101,MGHCC0001-A,MGHCC1009,MGHCC1099,MGHCC1108,MGHCC1112,MGHCC0002
BMS1P4-AGAP5,4.458648,4.550204,49.780727,5.27545,4.794627,2.004833,2.130503,3.182961,4.698111,7.576626,0.722142,0.0
BMS1P7,4.074848,18.362525,42.220671,3.955352,16.761226,6.540347,6.075432,2.656327,7.359972,31.271673,2.236414,6.247979
BMS1P8,0.032168,0.09397,0.098507,0.120879,0.02482,0.243632,0.0,0.061114,0.177882,0.0,1.935802,0.0
BMS1P9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216064,0.0,0.0,0.0,0.0
BMT2,4.176398,4.0317300000000005,0.866799,2.065544,3.612547,2.589643,4.300304,2.022429,4.460597,4.465656,0.651649,12.867561
BMX,1.215775,0.51541,0.013551,0.066346,0.184885,0.130509,0.25236,0.8731679999999999,1.317518,1.346107,0.0,0.0
BNC1,0.014132,0.151347,0.210086,0.0,0.048418,0.0,0.091174,0.598936,2.354556,0.174779,0.0,0.0
BNC2,21.52043,22.943339,6.690151,15.103431,3.963896,16.72604,31.535048,13.681442,163.67345500000002,15.301739,1.167393,21.386024
BNC2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNIP1,5.325223,8.364191,2.194404,4.873329,3.923809,5.573405,4.6364160000000005,4.451217,2.643204,6.268231,0.699763,0.664179
BNIP2,46.137088,36.438538,23.536784,25.755149,25.769167,60.42143,34.127273,39.657507,30.264175,39.854054000000005,11.382069,25.506992
BNIP3,2.917571,2.289733,3.533601,5.758344,0.825914,3.2416750000000003,2.940908,2.438822,4.778241,4.205874000000001,0.203973,1.851812
BNIP3L,82.717463,52.953577,23.957122,107.258822,21.906251,93.397396,67.222825,51.237157,108.185698,116.67906,737.412833,27.807138
BNIP3P1,4.655876,0.225933,14.566062,3.551373,0.170976,0.178774,3.910271,1.439544,2.084209,2.947013,0.0,0.019288
BNIP3P10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNIP3P11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNIP3P13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNIP3P14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNIP3P15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNIP3P16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNIP3P17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
