index,Pt1-baseline,Pt2-baseline,Pt3-baseline,Pt4-baseline,Pt5-baseline,Pt6-baseline,Pt8-baseline,Pt9-baseline,Pt10-baseline,Pt15-baseline,Pt16-baseline,Pt17-baseline,Pt18-baseline,Pt19-baseline,Pt20-baseline,Pt23-baseline,Pt24-baseline
MAD2L1,12.6185,22.03965,30.7036,16.94665,7.56625,23.3689,15.9993,41.34985,6.64703,18.27055,10.25434,27.5107,6.15576,10.7441,27.00135,1.84731,38.0856
MAD2L1BP,30.9135,54.74935,55.2892,25.7064,74.33495,65.16203333,47.57555,79.4205,36.8478,24.37515,39.07676667,49.08,89.2748,26.2803,33.82855,23.329,38.08195
MAD2L2,14.3866,34.6675,44.38625,52.88235,71.6042,22.55293333,37.62135,23.71275,101.4275,27.90585,38.23583333,41.03536667,29.7088,20.7692,82.29365,24.4083,47.1166
MADCAM1,0.0659605,0.1145073,0.0196056,0.09855345,0.1000678,0.0164546,0.06579305,0.0900888,0.03017185,0.131664,0.0,0.185055833,0.0,0.0794281,0.06742,0.0,0.0440063
MADD,11.73515,13.82435,8.58894,11.0797,23.8709,7.836486667,13.3818,13.09595,10.25605,14.05385,18.07343333,10.21525333,5.14816,10.22165,15.7881,11.5903,8.499515
MAEA,45.94485,38.9117,26.3301,20.52965,33.99255,38.53926667,50.00155,43.2834,32.53185,39.5423,36.99573333,47.88963333,55.5269,38.14315,22.6729,36.06755,36.4644
MAEL,0.0,0.0,0.01194835,0.0094265,0.0,0.0290181,0.226287,0.0,0.0211154,0.563937,1.268003333,0.0,0.0,0.0,0.0220528,0.1776745,0.0397608
MAF,11.6501,15.7682,13.76985,17.43935,22.0148,8.591436667,24.5738,11.26855,29.93145,18.84935,19.10446667,19.68243333,7.89567,9.03522,12.1747,10.5471,9.26044
MAF1,69.86035,66.2733,39.5664,41.69365,98.52805,35.63583333,51.3025,90.81825,81.5372,38.20635,51.32076667,92.37013333,96.3237,43.6896,40.31225,83.9955,98.9859
MAFA,0.04514235,0.0,0.0495181,0.0546856,0.02274465,0.0279681,0.0709319,0.0462631,0.1125348,0.0,0.0,0.027075333,0.0,0.01096925,0.16067395,0.0,0.0622985
MAFB,22.82645,19.7931,7.185295,45.29185,28.18175,8.450576667,21.4289,72.0809,22.8408,13.3019,18.0254,35.38686667,13.0124,27.11725,18.58605,42.31345,32.88885
MAFF,30.78865,10.719,54.286,12.4784,30.35555,4.58069,10.8818,10.82435,7.480545,31.17175,76.24446667,22.07096667,12.3369,11.16995,18.6275,35.15755,13.63105
MAFG,27.53645,15.23475,18.29195,13.2295,13.14525,16.23433333,16.05365,21.717,10.130005,24.6538,22.53673333,17.22303333,12.2848,12.5816,17.3761,17.1766,22.55455
MAFK,9.03693,6.34592,9.356405,10.017835,22.8442,38.95246667,8.97857,10.49775,5.590395,6.19984,13.8821,6.280133333,4.78509,6.803005,12.94735,15.39865,16.43835
MAG,0.0473542,0.03561015,0.0243367,19.5619,0.0078421,0.013944033,14.801,0.1719913,0.08242225,0.01380955,5.663616667,0.799182333,63.0325,2.58155,0.0,0.0,0.0
MAGEA1,0.05832165,0.0478331,2.14824,20.6157,14.8402,0.765198,1.41067,0.1766585,2.786575,0.0962723,0.1116943,0.0,7.42407,0.0,0.09998435,0.8158335,38.41745
MAGEA10,0.0071879,0.023673,0.0390656,8.259635,5.259355,0.0,0.0448147,0.08739445,4.138435,44.4957,0.0,0.0,1.50745,0.0,0.0296084,0.404391,6.356425
MAGEA11,0.01,0.00824735,0.02820735,10.16551,1.10412,0.0565754,0.06723585,0.0214961,15.2827,0.03298435,0.0,0.044994767,0.0933752,0.0,0.0736588,0.0,0.0
MAGEA12,2.07738,0.2133265,7.168485,13.59415,19.467,11.7912,21.1306,0.720998,15.4187,80.4421,0.722055,0.930150333,14.3174,18.1751,13.7132,13.6316,32.7413
MAGEA2,0.0,0.0,0.552526,0.401289,0.18802,0.0,0.013792556,0.0,0.0105064,0.000537375,0.541722167,0.0,0.0,0.01959255,0.0160611,0.0421866,0.0748037
MAGEA2B,0.0,0.0,0.000326892,2.92e-06,1.1e-09,0.0,0.014324153,0.0,0.0,0.0396914,0.102470127,0.0,0.0,0.0,0.0,0.0,0.0
MAGEA3,0.0468653,9.93747,14.44635,16.33345,31.2246,44.69363333,22.4848,1.820685,19.96665,116.8685,34.40063333,11.02646667,14.3796,6.268815,16.7394,21.1274,42.64275
MAGEA4,0.04736235,0.253783,0.0221052,68.48675,0.0,0.0,0.135977,0.01282545,1.32434,0.466347,0.0,0.026156033,0.167882,0.0,0.7704525,0.0,0.6325465
MAGEA6,0.04728015,8.324195,8.6122,16.69715,29.6966,51.79996667,7.07844,6.73559,20.5899,107.817,47.25253333,47.31246667,8.45574,1.66862,15.23865,19.83385,37.8078
MAGEA8,0.0107993,0.00875635,0.0754345,0.1166643,0.0,0.01419,0.045443,0.0,0.01910605,0.01652775,0.029814533,0.0,0.0,0.0,0.0183089,0.0091015,0.0227149
MAGEA9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGEA9B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
