,002-064,002-066,001-047,501-053,002-069,002-075,001-043,001-076,001-038,002-070,001-064,502-052,002-074,001-071,502-062,001-078,501-056,002-067,501-059,002-042,301-028,001-046,001-055,301-033
LOC400710,4.387854933985546,5.722076372722855,5.084978500053302,3.387796455427351,19.924284911804477,12.283945474335262,9.391207703132205,5.483443268735282,0.0,27.347359236341628,1.9958866248179656,7.883063820556452,9.229786208150847,1.7211588054744469,17.7730424627552,6.986401086913781,22.13375324251692,9.130951697700192,9.456274728022446,63.302065380760375,0.0,12.549391287513279,2.3746228582519833,0.0
IZUMO2,2.21425505437722,46.200749005439334,1.026418558912149,8.547964253022354,27.103288038602617,0.0,6.318813918939603,0.61491661039939,6.55480029741058,10.120272472747205,0.8057517148504031,3.7128482808047703,3.38738318210217,1.7371060081724232,10.762629949318999,1.410226559568963,35.479319880119675,7.487637219014987,0.0,206.18588319300372,0.0,0.0,6.390999089052327,0.0
MYH14,97.43387836320649,65.89111848495429,98.31235606177506,40.99914789808135,56.03986361941594,5.6060501021131595,43.31805464152111,49.692312722421505,60.02030634007361,43.72657550077806,10.59858802645977,6.706973787304908,33.72508803277337,71.3672748249184,126.79420018458623,67.29798469078084,60.73469227394349,99.0340135871277,2.774301454450603,108.47555866921942,43.844690766114866,12.085798378691303,96.83737598652638,109.04991728858029
KCNC3,121.63638925956768,58.439884355653085,92.90900884664656,103.22893545142787,54.83379661287783,24.356046829632703,58.78911995169642,36.788105761896624,172.74947528001255,170.4446772736026,20.697702701140678,46.005811081110295,43.506609260528535,45.33009747712114,111.03791554317978,22.163707893231532,109.88496865105199,87.74672888955386,19.103233830160153,96.87924810560746,67.08999193472624,20.57540571515085,112.11069624788672,55.62177117712102
NR1H2,95.37330494209246,82.5072845261784,124.28254884796068,122.84805813609667,136.03944848119963,198.7525971554276,110.53507537580609,89.24327019936611,64.90369101826596,91.6186883733894,122.18219263255608,134.89962455704153,81.69596386263457,98.6151058706744,154.60872019416672,99.20837791334284,81.04195364907156,161.47934641150837,89.10073500987262,146.23875038388627,85.34158494748738,74.00067821440726,50.62542397671332,259.4294106690983
NAPSB,13.97697916308712,77.4646631659739,51.02238218199697,109.9375331472394,44.15053257786621,22.82525986745499,221.0353005381827,31.05216495669066,43.96165933148448,29.76316164059635,21.93390810407002,45.61748593810257,50.782445835494094,186.40644190882523,50.48069980609364,40.799609480584394,191.81339682214977,105.88953694469063,15.06090753027074,123.73427685985324,0.0,36.06400731563159,32.147309451792516,0.0
NAPSA,20.08751656632939,18.275969984087588,48.9399005876395,11.18110007193019,28.774980151999593,3.7781069693241576,17.330419130093638,10.6380058449742,26.275029564138556,22.9040179399594,3.7398489954003207,8.952190134114188,2.143955314782063,5.619440110026643,25.481642607519962,10.710790831375776,36.0400198788457,22.115816494141725,0.0,122.53515994219437,127.28550829503772,6.738424167287189,10.449622602984503,0.0
POLD1,60.520316235181426,67.20598415064642,42.434939144648304,81.41199654934167,137.35452489053276,108.83930880685512,120.62053131291836,145.37805162099824,25.091972155926697,61.703379955122244,62.79923369879713,68.05946094771056,59.90756046129526,65.25566285855017,106.0204848571225,117.90082823305147,80.08107924930044,56.97302559402452,78.91408835150472,178.75654632823796,92.38131439086544,120.9162525206571,34.006261341573044,153.17969735604387
SPIB,1.1720245401088203,22.416588312103197,3.984143593572823,4.524512139064728,16.042846633085873,2.91655252193076,11.14867799102959,3.2548073271140066,1.1565043495314558,8.116285776782847,0.99514664735786,3.36898804101315,1.4941429204099657,5.312466653982704,11.604498961261033,1.6587671894042526,18.08397634555999,3.8616494255147,3.3677764970187374,74.80682803822712,0.0,1.1659213520779248,0.5638019397219796,58.834549801862096
MYBPC2,1.1245426818916306,59.832547712895945,2.0851283174458954,12.15539364133066,50.796596001049394,1.119358062105182,11.124895743455287,0.49967141614061755,0.0,2.9903897345466333,1.1457967044867858,2.1550008651695958,0.34406668379647615,1.4115445971220928,21.62092128939186,1.9098792968617937,58.72763245072542,8.190450169144054,0.0,178.16230053966848,0.0,0.0,1.947458918437362,0.0
EMC10,70.03361820745143,79.15166347280952,108.50224846704116,147.91668040893063,149.93965901140342,120.05737428788196,101.85190479865112,124.64586804056522,87.0738354327945,112.64555955484751,105.16701516397092,128.6904607267508,107.37601314813129,119.32609803885471,164.48758722333298,151.45326832939335,93.46702943413713,127.35809846401796,170.38273401709435,127.36543233690148,127.2144586113676,108.45129464239064,55.92480943031813,257.81235135987606
JOSD2,136.8821689896921,132.69333514587214,158.34866067689518,155.25356131271434,200.88632191560572,211.00831593616365,114.07495236788031,104.28424673322891,96.81976384267176,120.79572146392753,135.32573795425793,150.8875116992823,118.60010979073432,111.50350552482296,230.9358697504874,215.50256502586208,175.40506839759226,184.645976300004,83.5384154104807,241.4821070907158,0.0,94.59553596992937,83.91136530245966,91.21272347993246
ASPDH,79.61307286529397,83.05690868199741,110.71398756808497,98.34887984821816,144.60218674837276,217.30745302977087,80.46369875857704,78.48764887597497,103.1084514362161,105.85374822395171,65.90818949651711,59.11907073040749,65.46354773668182,51.52725573200567,75.24379468170207,195.21193280924467,90.94922400890749,74.55223798389956,60.051001024175854,159.2308320816947,0.0,72.26862815003574,56.01058675174964,74.93442660665481
LRRC4B,488.61517253441474,212.4999239670753,317.60477361697207,618.7601322980581,649.0572733658893,224.09191330993264,417.42415896837747,597.2847391607863,259.52603216851026,468.40109289189235,219.3286690459674,347.87864094474986,388.5037142818784,604.047815467278,514.6471044470081,610.5489733687712,62.20679723276783,645.9657449696529,575.0255352984314,113.73014840650191,129.82324272416125,308.56369262964836,286.38970686499107,251.14024434078814
SYT3,38.07910983049534,39.72630416156119,12.910871529791942,40.320418271540404,39.178357371365976,14.890679943633224,17.800567844054058,8.218190932013075,28.34217891343945,45.928718349795915,5.225962247344647,6.046279872773311,33.28782510507531,25.492015606576093,24.443327563241198,50.07466023576644,33.057695973398594,24.22514053187157,37.515137773762305,125.56666194804835,0.0,22.51202843731175,29.832074799623317,0.0
C19orf81,69.70290389924956,68.78734828695549,55.888952883468725,36.36253937589183,86.28588917200872,70.31913231366843,43.00778302485469,4.185310803213866,61.34422057616061,84.53660034206956,12.339434200732692,4.5126397621428636,54.756972846267566,37.440372664130706,45.783597560306895,38.393735702859516,62.60673446313411,42.142606811422446,64.95864396501906,345.89964575123724,0.0,11.244313580174943,46.217790991128126,0.0
SHANK1,290.8233225726321,86.48902935511781,83.62293174925769,228.21008615971365,65.11931880968957,20.2175636661315,68.9761404505929,27.995730357535752,549.730060095507,495.6580864718109,6.274896630688437,18.74662791739307,113.12827990209519,107.18290711110033,40.3555558672621,61.95156771929624,39.88373667095844,200.46546215363122,68.60704143893648,121.77569132830658,240.9458994077072,26.280815379803624,241.51570354940716,49.939779751203936
CLEC11A,35.580561823047894,66.93712074785627,78.95191513506748,134.20363486479778,97.6520725242009,86.36405567003686,46.606760683838345,93.95059606377569,41.4405993698217,96.94263792519988,61.978264576808925,120.16083450325182,60.67762329055678,61.622846353603364,84.424017370154,72.31623440266635,80.30726369269922,45.51745992087079,70.39451375288677,159.11797212800488,0.0,37.71628195302752,37.87970563634178,87.84154192872158
GPR32,0.6591291148865207,6.8764117166291205,0.0,2.035614497449453,24.984713323467428,0.0,7.523820198201529,1.4643640635358208,0.0,5.477373632180323,1.4391144694313935,0.6315562031178665,0.0,2.0683744510232716,5.695590177189741,3.918036858566042,26.598876040061707,4.1148644618773025,11.36392353052343,96.81919162398697,0.0,0.0,0.0,0.0
LOC105372440,34.181231719824304,47.196813831503114,7.4563386659435436,31.048014390184562,130.2012870098845,80.05562755709946,66.94120074181109,85.99002748814642,29.76052659070729,58.48018025800218,40.97324946140727,23.11860062759344,41.52496144237447,42.063576576098264,30.405004533639705,81.95585890418089,90.68516688375675,34.51886599960654,69.3308603857415,200.41273431026352,0.0,83.00790145364722,11.60673031677652,0.0
ACP4,76.03953152645407,94.28421295963794,49.694108068702725,76.03293181214795,277.60120282257225,186.1203859747767,141.10526725665812,244.40094366964072,33.211150985278124,130.52148726435777,107.95932197878996,62.706189481699056,104.88393418353235,107.57242534215293,84.82588448133163,183.65766493629408,63.61974528263554,77.82061105994482,214.9153347277829,186.37488257765193,0.0,176.08829672202427,53.06922296851023,187.7269316330652
C19orf48,72.44306719750016,56.28055768932722,62.87507199390232,129.71509500999957,179.73972838495234,149.90760479595681,101.65475987692926,183.48783044089882,51.71165701461473,80.69402759924822,123.76826425583397,126.51800933135083,95.10421599614892,134.624115105714,115.43016112174344,169.28147105351695,115.25330662531508,79.91948902715843,194.8759318950572,122.6371471299841,0.0,188.08669988656266,54.12671779174899,193.43484509488135
SNORD88B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNORD88A,55.14955033786778,95.89193921321268,34.086119615741914,70.96689003470756,174.20660004109982,57.18259111221389,69.946724040423,193.99605459292403,0.0,45.82936575320986,40.13706069688875,114.4921173937961,42.18408781447564,105.75984967704706,0.0,85.85851885199902,43.63797504180776,95.63668502055489,0.0,192.87842099032883,0.0,164.58709548124202,39.794503943233785,0.0
SNORD88C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01869,4.134918027921584,43.1378285867348,13.143376631493705,10.033595610839305,54.11148981973428,26.45906334514304,23.599609753045264,14.435775397525793,6.994564441657759,21.59849111062292,5.588764454380814,3.9619447403220396,1.8073220297162353,3.08941522875298,19.779203917767234,7.524196085835816,57.490566695262984,7.9899857612511616,0.0,164.23951702619277,0.0,17.041170157525016,0.8524717181813265,0.0
